Array_Size,Binary_Time(s),log2(Size)
1000,0.000000100,9.965784
2000,0.000000096,10.965784
3000,0.000000110,11.550747
4000,0.000000109,11.965784
5000,0.000000110,12.287712
6000,0.000000091,12.550747
7000,0.000000096,12.773139
8000,0.000000089,12.965784
9000,0.000000093,13.135709
10000,0.000000097,13.287712
11000,0.000000087,13.425216
12000,0.000000098,13.550747
13000,0.000000098,13.666224
14000,0.000000092,13.773139
15000,0.000000087,13.872675
16000,0.000000121,13.965784
17000,0.000000118,14.053247
18000,0.000000124,14.135709
19000,0.000000122,14.213712
20000,0.000000123,14.287712
21000,0.000000127,14.358102
22000,0.000000138,14.425216
23000,0.000000139,14.489346
24000,0.000000140,14.550747
25000,0.000000139,14.609640
26000,0.000000128,14.666224
27000,0.000000129,14.720672
28000,0.000000138,14.773139
29000,0.000000137,14.823765
30000,0.000000129,14.872675
31000,0.000000125,14.919981
32000,0.000000122,14.965784
33000,0.000000127,15.010178
34000,0.000000114,15.053247
35000,0.000000127,15.095067
36000,0.000000131,15.135709
37000,0.000000116,15.175238
38000,0.000000121,15.213712
39000,0.000000123,15.251187
40000,0.000000120,15.287712
