Array_Size,Linear_Time(s)
1000,0.000003362
2000,0.000005940
3000,0.000006960
4000,0.000009239
5000,0.000012028
6000,0.000014479
7000,0.000016300
8000,0.000018409
9000,0.000020624
10000,0.000022823
11000,0.000025218
12000,0.000027568
13000,0.000029723
14000,0.000035073
15000,0.000036814
16000,0.000040830
17000,0.000042632
18000,0.000043275
19000,0.000046576
20000,0.000047475
21000,0.000048797
22000,0.000050805
23000,0.000054022
24000,0.000057528
25000,0.000058203
26000,0.000060896
27000,0.000064383
28000,0.000064469
29000,0.000067987
30000,0.000071082
31000,0.000070614
32000,0.000079112
33000,0.000084061
34000,0.000080101
35000,0.000081812
36000,0.000090153
37000,0.000086871
38000,0.000099158
39000,0.000099962
40000,0.000091632
