Array_Size,Linear_Time(s),Binary_Time(s)
1000,0.000003256,0.000000106
2000,0.000005258,0.000000083
3000,0.000007307,0.000000084
4000,0.000009665,0.000000085
5000,0.000012056,0.000000087
6000,0.000013720,0.000000088
7000,0.000016338,0.000000088
8000,0.000018305,0.000000088
9000,0.000022759,0.000000092
10000,0.000030821,0.000000110
11000,0.000025239,0.000000081
12000,0.000027677,0.000000084
13000,0.000030399,0.000000085
14000,0.000032584,0.000000082
15000,0.000035376,0.000000085
16000,0.000038181,0.000000083
17000,0.000039823,0.000000085
18000,0.000041184,0.000000084
19000,0.000043322,0.000000088
20000,0.000046357,0.000000091
21000,0.000051886,0.000000097
22000,0.000061063,0.000000103
23000,0.000054961,0.000000085
24000,0.000056358,0.000000091
25000,0.000057272,0.000000089
26000,0.000060633,0.000000085
27000,0.000063968,0.000000086
28000,0.000064546,0.000000088
29000,0.000066773,0.000000086
30000,0.000071366,0.000000087
31000,0.000075603,0.000000087
32000,0.000073798,0.000000096
33000,0.000077230,0.000000091
34000,0.000080777,0.000000092
35000,0.000082879,0.000000089
36000,0.000085132,0.000000091
37000,0.000091007,0.000000094
38000,0.000091048,0.000000092
39000,0.000092812,0.000000093
40000,0.000093214,0.000000090
