N,Ob,Oi,Oj,P,Os,Total
100,305,25750,0,0,16958,43013
200,605,101500,0,0,63908,166013
300,905,227250,0,0,140858,369013
400,1205,403000,0,0,247808,652013
500,1505,628750,0,0,384758,1015013
600,1805,904500,0,0,551708,1458013
700,2105,1230250,0,0,748658,1981013
800,2405,1606000,0,0,975608,2584013
900,2705,2031750,0,0,1232558,3267013
1000,3005,2507500,0,0,1519508,4030013
1100,3305,3033250,0,0,1836458,4873013
1200,3605,3609000,0,0,2183408,5796013
1300,3905,4234750,0,0,2560358,6799013
1400,4205,4910500,0,0,2967308,7882013
1500,4505,5636250,0,0,3404258,9045013
1600,4805,6412000,0,0,3871208,10288013
1700,5105,7237750,0,0,4368158,11611013
1800,5405,8113500,0,0,4895108,13014013
1900,5705,9039250,0,0,5452058,14497013
2000,6005,10015000,0,0,6039008,16060013
2100,6305,11040750,0,0,6655958,17703013
2200,6605,12116500,0,0,7302908,19426013
2300,6905,13242250,0,0,7979858,21229013
2400,7205,14418000,0,0,8686808,23112013
2500,7505,15643750,0,0,9423758,25075013
2600,7805,16919500,0,0,10190708,27118013
2700,8105,18245250,0,0,10987658,29241013
2800,8405,19621000,0,0,11814608,31444013
2900,8705,21046750,0,0,12671558,33727013
3000,9005,22522500,0,0,13558508,36090013
3100,9305,24048250,0,0,14475458,38533013
3200,9605,25624000,0,0,15422408,41056013
3300,9905,27249750,0,0,16399358,43659013
3400,10205,28925500,0,0,17406308,46342013
3500,10505,30651250,0,0,18443258,49105013
3600,10805,32427000,0,0,19510208,51948013
3700,11105,34252750,0,0,20607158,54871013
3800,11405,36128500,0,0,21734108,57874013
3900,11705,38054250,0,0,22891058,60957013
4000,12005,40030000,0,0,24078008,64120013
