ArraySize,Ob,Oi,Oj,Os,P,Total
100,101,202,101,570,101,1075
200,201,402,201,1130,201,2135
300,301,602,301,1636,301,3141
400,401,802,401,2156,401,4161
500,501,1002,501,2763,501,5268
600,601,1202,601,3335,601,6340
700,701,1402,701,3751,701,7256
800,801,1602,801,4327,801,8332
900,901,1802,901,4887,901,9392
1000,1001,2002,1001,5547,1001,10552
1100,1101,2202,1101,6087,1101,11592
1200,1201,2402,1201,6656,1201,12661
1300,1301,2602,1301,7136,1301,13641
1400,1401,2802,1401,7758,1401,14763
1500,1501,3002,1501,8096,1501,15601
1600,1601,3202,1601,8623,1601,16628
1700,1701,3402,1701,9324,1701,17829
1800,1801,3602,1801,9868,1801,18873
1900,1901,3802,1901,10450,1901,19955
2000,2001,4002,2001,10973,2001,20978
2100,2101,4202,2101,11492,2101,21997
2200,2201,4402,2201,12027,2201,23032
2300,2301,4602,2301,12921,2301,24426
2400,2401,4802,2401,13247,2401,25252
2500,2501,5002,2501,13757,2501,26262
2600,2601,5202,2601,14208,2601,27213
2700,2701,5402,2701,15167,2701,28672
2800,2801,5602,2801,15639,2801,29644
2900,2901,5802,2901,15788,2901,30293
3000,3001,6002,3001,16487,3001,31492
3100,3101,6202,3101,17059,3101,32564
3200,3201,6402,3201,17535,3201,33540
3300,3301,6602,3301,18136,3301,34641
3400,3401,6802,3401,18876,3401,35881
3500,3501,7002,3501,19165,3501,36670
3600,3601,7202,3601,19737,3601,37742
3700,3701,7402,3701,20336,3701,38841
3800,3801,7602,3801,21033,3801,40038
3900,3901,7802,3901,21346,3901,40851
4000,4001,8002,4001,22060,4001,42065
