ArraySize,SelSort_OBOI,SelSort_OI,SelSort_OJ,SelSort_OS,SelSort_Total,BubSort_OBOI,BubSort_OI,BubSort_OJ,BubSort_OS,BubSort_Total
1000,1,2997,1009886,1998,1014882,1,1900,1898100,988268,2888269
2000,1,5997,4022728,3998,4032724,1,3730,7456270,4033904,11493905
3000,1,8997,9036492,5998,9051488,1,5760,17274240,9022616,26302617
4000,1,11997,16050958,7998,16070954,1,7832,31320168,16284712,47612713
5000,1,14997,25066962,9998,25091958,1,9890,49440110,25367292,74817293
6000,1,17997,36080872,11998,36110868,1,11776,70644224,35683908,106339909
7000,1,20997,49097452,13998,49132448,1,13600,95186400,49329280,144529281
8000,1,23997,64112812,15998,64152808,1,15854,126816146,65472424,192304425
9000,1,26997,81131100,17998,81176096,1,17850,160632150,81898488,242548489
10000,1,29997,100144874,19998,100194870,1,19912,199100088,100355892,299475893
11000,1,32997,121161740,21998,121216736,1,21502,236500498,120348036,356870037
12000,1,35997,144179142,23998,144239138,1,23728,284712272,143183408,427919409
13000,1,38997,169199618,25998,169264614,1,25572,332410428,168588296,501024297
14000,1,41997,196208034,27998,196278030,1,27752,388500248,195378952,583906953
15000,1,44997,225229134,29998,225304130,1,29748,446190252,226014232,672234233
16000,1,47997,256248854,31998,256328850,1,31956,511264044,254184984,765480985
17000,1,50997,289270156,33998,289355152,1,33664,572254336,291570752,863858753
18000,1,53997,324286304,35998,324376300,1,35602,640800398,321522524,962358525
19000,1,56997,361300152,37998,361395148,1,37378,710144622,359730756,1069912757
20000,1,59997,400319460,39998,400419456,1,39338,786720662,402000672,1188760673
21000,1,62997,441335452,41998,441440448,1,41760,876918240,441796284,1318756285
22000,1,65997,484359022,43998,484469018,1,43678,960872322,486140448,1447056449
23000,1,68997,529370660,45998,529485656,1,45402,1044200598,526286432,1570532433
24000,1,71997,576394442,47998,576514438,1,47988,1151664012,579957740,1731669741
25000,1,74997,625409284,49998,625534280,1,49800,1244950200,625387980,1870387981
