ArraySize,SelSort_OBOI,SelSort_OI,SelSort_OJ,SelSort_OS,SelSort_Total,BubSort_OBOI,BubSort_OI,BubSort_OJ,BubSort_OS,BubSort_Total,,
100,1,297,10548,198,11044,1,148,14652,8844,23645,,
200,1,597,41320,398,42316,1,392,78008,43480,121881,,
300,1,897,92270,598,93766,1,550,164450,83860,248861,,
400,1,1197,163084,798,165080,1,738,294462,160532,455733,,
500,1,1497,254576,998,257072,1,924,461076,244352,706353,,
600,1,1797,365330,1198,368326,1,1078,645722,358748,1005549,,
700,1,2097,496540,1398,500036,1,1290,901710,472796,1375797,,
800,1,2397,647926,1598,651922,1,1552,1240048,643536,1885137,,
900,1,2697,819074,1798,823570,1,1726,1551674,837588,2390989,,
1000,1,2997,1009558,1998,1014554,1,1988,1986012,1003208,2991209,,
1100,1,3297,1221110,2198,1226606,1,2130,2340870,1186200,3529201,,
1200,1,3597,1452358,2398,1458354,1,2308,2767292,1455532,4225133,,
1300,1,3897,1703802,2598,1710298,1,2392,3107208,1728476,4838077,,
1400,1,4197,1974518,2798,1981514,1,2710,3791290,1936460,5730461,,
1500,1,4497,2266102,2998,2273598,1,2934,4398066,2210788,6611789,,
1600,1,4797,2578260,3198,2586256,1,3142,5024058,2509060,7536261,,
1700,1,5097,2908496,3398,2916992,1,3294,5596506,2825236,8425037,,
1800,1,5397,3260234,3598,3269230,1,3500,6296500,3221864,9521865,,
1900,1,5697,3631590,3798,3641086,1,3666,6961734,3516648,10482049,,
2000,1,5997,4022734,3998,4032730,1,3860,7716140,4034924,11754925,,
2100,1,6297,4433980,4198,4444476,1,4056,8513544,4482032,12999633,,
2200,1,6597,4866908,4398,4877904,1,4350,9565650,4901704,14471705,,Both bubble sort and selection sort show quadratic growth in operation 
2300,1,6897,5316496,4598,5327992,1,4450,10230550,5094960,15329961,,"count as array size increases, confirming O(n²) complexity."
2400,1,7197,5787906,4798,5799902,1,4762,11424038,5905276,17334077,,
2500,1,7497,6280172,4998,6292668,1,4914,12280086,6259844,18544845,,
2600,1,7797,6791642,5198,6804638,1,4982,12948218,6839592,19792793,,
2700,1,8097,7322846,5398,7336342,1,5268,14218332,7316092,21539693,,
2800,1,8397,7873158,5598,7887154,1,5466,15299334,7862128,23166929,,
2900,1,8697,8446350,5798,8460846,1,5518,15996682,8471920,24474121,,
3000,1,8997,9035896,5998,9050892,1,5936,17802064,8804576,26612577,,
3100,1,9297,9647840,6198,9663336,1,6154,19071246,9685268,28762669,,
3200,1,9597,10279378,6398,10295374,1,6308,20179292,10353156,30538757,,
3300,1,9897,10931206,6598,10947702,1,6500,21443500,10655552,32105553,,
3400,1,10197,11601012,6798,11618008,1,6566,22317834,11473524,33797925,,
3500,1,10497,12294072,6998,12311568,1,6972,24395028,12068724,36470725,,
3600,1,10797,13004440,7198,13022436,1,7006,25214594,12849904,38071505,,
3700,1,11097,13736824,7398,13755320,1,7306,27024894,13743992,40776193,,
3800,1,11397,14488990,7598,14507986,1,7546,28667254,14417180,43091981,,
3900,1,11697,15259188,7798,15278684,1,7510,29281490,15320672,44609673,,
4000,1,11997,16051982,7998,16071978,1,7912,31640088,16008448,47656449,,
