Array Size, Shell Sort, Merge Sort, Quick Sort, Heap Sort
2500,0.80568,0.37234,0.24296,0.4376
5000,1.42976,0.56054,0.4711,0.79244
7500,2.58088,0.97756,0.69808,1.2747
10000,3.34924,1.36904,1.07786,1.74322
12500,4.14536,1.771,1.2694,2.04434
15000,4.81226,1.87892,1.55116,2.46404
17500,5.95666,2.31756,1.87098,2.81186
20000,6.58676,2.60778,2.15372,3.23904
22500,7.42504,2.89568,2.42108,3.5904
25000,8.40194,3.46866,2.77588,4.0349
27500,9.19586,3.62722,2.98086,4.31996
30000,10.056,3.8914,3.26098,4.734
32500,11.2088,4.57054,3.81918,5.34902
35000,12.905,5.4013,4.29986,6.2253
37500,15.6536,5.95556,4.7457,6.46876
40000,14.5079,5.76456,5.35164,6.47078
42500,15.0007,5.83984,5.4149,7.02882
45000,16.2161,6.49904,5.42642,7.62354
47500,16.6168,6.62386,5.73132,7.78046
50000,19.8566,7.63288,6.58728,9.4321
52500,19.041,7.82264,6.29312,8.79114
55000,20.7435,8.34288,7.0378,9.19324
57500,20.4824,8.3656,7.82798,9.84372
60000,22.6913,9.03222,8.03208,11.576
62500,23.5024,9.26958,8.20916,10.7207
65000,24.4769,9.75882,8.91176,11.7905
67500,26.0419,10.1669,8.79548,11.6952
70000,25.2938,10.1651,8.76048,11.6247
72500,26.2386,10.5481,9.14062,12.4506
75000,27.808,10.923,9.8166,13.0501
77500,29.555,12.305,10.1963,13.7437
80000,29.1787,12.0971,10.8953,13.4503
82500,30.4739,11.8725,10.9364,13.9247
85000,31.3746,12.5435,11.9723,14.2048
87500,31.7062,13.188,11.2711,14.6591
90000,33.2455,13.176,12.1173,15.1112
92500,33.8793,14.0282,11.8717,15.4382
95000,34.5748,13.8971,12.6782,16.1323
97500,37.1203,14.8959,13.3594,16.414
100000,37.4993,14.854,13.4589,16.9526
