Array Size, Heap Sort, Quick Sort, Shell Sort, Merge Sort
2500,0.77706,0.6229,0.17308,0.36342
5000,1.278,0.98724,0.3176,0.59914
7500,1.88112,1.55006,0.50482,0.93744
10000,2.70856,1.75744,0.74614,1.18894
12500,3.31434,3.08412,0.97806,1.5778
15000,4.15374,5.16828,1.14938,1.85492
17500,4.85488,5.21106,1.39586,2.18682
20000,6.25124,4.20474,1.6708,2.5983
22500,6.23806,5.02198,1.94982,2.94276
25000,7.0823,5.4571,2.24424,3.2256
27500,7.81394,9.4658,2.34288,3.5379
30000,8.68288,8.6736,2.61188,3.79586
32500,9.40224,8.4486,2.95524,4.07736
35000,10.0134,8.2579,3.11914,4.37196
37500,10.7317,9.2297,3.38572,4.7436
40000,11.7563,12.3209,3.63576,5.14266
42500,12.4034,11.444,4.10114,5.53166
45000,13.7448,14.6046,4.35186,5.83132
47500,14.2336,12.0959,4.57064,6.09878
50000,15.7639,12.9173,4.9782,6.61906
52500,15.7497,15.0834,5.00752,6.75172
55000,16.9589,16.3864,5.27686,7.099
57500,17.9604,15.4143,6.14876,7.42732
60000,18.5315,24.7997,5.8352,7.81278
62500,20.339,22.9852,6.41182,8.2612
65000,20.1542,20.5788,6.72628,8.387
67500,20.7984,23.4154,7.03168,8.8291
70000,21.8094,19.2251,7.13274,9.02638
72500,22.4876,21.7231,7.67614,9.40008
75000,23.0611,20.809,7.85134,9.90558
77500,24.43,20.7767,8.08606,10.2936
80000,25.1986,21.7664,8.42548,10.6794
82500,25.2163,21.9101,8.7979,10.5975
85000,27.1439,21.7782,9.24794,11.1755
87500,29.1676,24.9767,9.33206,11.3051
90000,27.8163,24.0446,9.813,11.5768
92500,28.8342,24.0727,9.63212,11.987
95000,29.582,27.6397,9.96008,12.2234
97500,30.5251,29.2057,10.6025,12.5739
100000,31.6378,34.1291,10.9587,13.1482
